Date2,Date3,Date1,Date,Close/Last,Volume,Open,High,Low
07-09-2018,09-07-2018,07-09-2018,2018/07/09,73.85,503177,73.87,74.28,72.99
07-10-2018,10-07-2018,07-10-2018,2018/07/10,74.11,555311,74.04,74.7,73.65
07-11-2018,11-07-2018,07-11-2018,2018/07/11,70.38,824269,74.2,74.26,70.02
07-12-2018,12-07-2018,07-12-2018,2018/07/12,70.33,689519,70.6,71.24,69.23
07/13/2018,13-07-2018,07/13/2018,2018/07/13,71.01,509080,70.38,71.66,69.84
07/16/2018,16-07-2018,07/16/2018,2018/07/16,68.06,509747,70.52,70.87,67.58
07/17/2018,17-07-2018,07/17/2018,2018/07/17,68.08,412805,68.03,68.44,67.03
07/18/2018,18-07-2018,07/18/2018,2018/07/18,68.76,170028,67.61,69.06,67.04
07/19/2018,19-07-2018,07/19/2018,2018/07/19,69.46,68501,69,70.17,67.8
07/20/2018,20-07-2018,07/20/2018,2018/07/20,68.26,17771,69.39,71.1,69.37
07/23/2018,23-07-2018,07/23/2018,2018/07/23,67.89,540467,68.17,69.31,67.6
07/24/2018,24-07-2018,07/24/2018,2018/07/24,68.52,510486,67.8,69.05,67.56
07/25/2018,25-07-2018,07/25/2018,2018/07/25,69.3,609263,68.77,69.7,68.2
07/26/2018,26-07-2018,07/26/2018,2018/07/26,69.61,474198,69.38,69.92,68.92
07/27/2018,27-07-2018,07/27/2018,2018/07/27,68.69,443476,69.58,69.77,68.26
07/30/2018,30-07-2018,07/30/2018,2018/07/30,70.13,447536,69.01,70.43,68.8
07/31/2018,31-07-2018,07/31/2018,2018/07/31,68.76,501303,70.05,70.22,67.98
08-01-2018,01-08-2018,08-01-2018,2018/08/01,67.66,560487,68.43,68.52,67.31
08-02-2018,02-08-2018,08-02-2018,2018/08/02,68.96,514822,67.86,69.36,66.92
08-03-2018,03-08-2018,08-03-2018,2018/08/03,68.49,459452,68.99,69.24,67.87
08-06-2018,06-08-2018,08-06-2018,2018/08/06,69.01,480118,68.65,69.92,68.5
08-07-2018,07-08-2018,08-07-2018,2018/08/07,69.17,449468,68.9,69.83,68.81
08-08-2018,08-08-2018,08-08-2018,2018/08/08,66.94,718912,69.09,69.37,66.32
08-09-2018,09-08-2018,08-09-2018,2018/08/09,66.81,474665,66.79,67.41,66.49
08-10-2018,10-08-2018,08-10-2018,2018/08/10,67.63,488222,66.74,67.87,66.14
08/13/2018,13-08-2018,08/13/2018,2018/08/13,67.2,552021,67.78,67.95,65.71
08/14/2018,14-08-2018,08/14/2018,2018/08/14,67.04,520586,67.42,68.37,66.58
08/15/2018,15-08-2018,08/15/2018,2018/08/15,65.01,552757,66.62,66.9,64.51
08/16/2018,16-08-2018,08/16/2018,2018/08/16,65.46,363173,64.95,65.52,64.43
08/17/2018,17-08-2018,08/17/2018,2018/08/17,65.91,152081,65.47,66.39,65.3
08/20/2018,20-08-2018,08/20/2018,2018/08/20,66.43,77015,65.91,66.68,65.59
08/21/2018,21-08-2018,08/21/2018,2018/08/21,67.35,19352,66.62,68.1,66.52
08/22/2018,22-08-2018,08/22/2018,2018/08/22,67.86,562307,66.08,68.15,65.98
08/23/2018,23-08-2018,08/23/2018,2018/08/23,67.83,437663,68.07,68.12,67.32
08/24/2018,24-08-2018,08/24/2018,2018/08/24,68.72,501568,67.9,69.31,67.78
08/27/2018,27-08-2018,08/27/2018,2018/08/27,68.87,321269,68.57,68.97,68.34
08/28/2018,28-08-2018,08/28/2018,2018/08/28,68.53,416195,68.93,69.2,68.21
08/29/2018,29-08-2018,08/29/2018,2018/08/29,69.51,483736,68.54,69.76,68.37
08/30/2018,30-08-2018,08/30/2018,2018/08/30,70.25,425788,69.71,70.5,69.55
08/31/2018,31-08-2018,08/31/2018,2018/08/31,69.8,143477,69.89,70.21,69.53
09-04-2018,04-09-2018,09-04-2018,2018/09/04,69.87,771579,70.12,71.4,69.08
09-05-2018,05-09-2018,09-05-2018,2018/09/05,68.72,520989,69.43,69.59,68.56
09-06-2018,06-09-2018,09-06-2018,2018/09/06,67.77,611679,68.64,69.02,67
09-07-2018,07-09-2018,09-07-2018,2018/09/07,67.75,505215,67.88,68.08,66.86
09-10-2018,10-09-2018,09-10-2018,2018/09/10,67.54,536478,67.82,68.52,67.33
09-11-2018,11-09-2018,09-11-2018,2018/09/11,69.25,647422,67.53,70.01,67.48
09-12-2018,12-09-2018,09-12-2018,2018/09/12,70.37,777757,69.89,71.26,69.5
09/13/2018,13-09-2018,09/13/2018,2018/09/13,68.59,652211,70.24,70.28,68.35
09/14/2018,14-09-2018,09/14/2018,2018/09/14,68.99,577155,68.79,69.91,67.94
09/17/2018,17-09-2018,09/17/2018,2018/09/17,68.91,403529,68.93,69.72,68.53
09/18/2018,18-09-2018,09/18/2018,2018/09/18,69.85,214023,68.8,70.42,68.53
09/19/2018,19-09-2018,09/19/2018,2018/09/19,71.12,92303,69.71,71.5,69.65
09/20/2018,20-09-2018,09/20/2018,2018/09/20,70.8,20406,71.39,71.81,70.73
09/21/2018,21-09-2018,09/21/2018,2018/09/21,70.78,836559,70.2,71.8,69.98
09/24/2018,24-09-2018,09/24/2018,2018/09/24,72.08,555155,71.14,72.74,71.14
09/25/2018,25-09-2018,09/25/2018,2018/09/25,72.28,531833,72.25,72.78,71.89
09/26/2018,26-09-2018,09/26/2018,2018/09/26,71.57,448076,72.09,72.38,71.47
09/27/2018,27-09-2018,09/27/2018,2018/09/27,72.12,437272,72.01,72.6,71.71
09/28/2018,28-09-2018,09/28/2018,2018/09/28,73.25,522640,72.18,73.73,71.88
10-01-2018,01-10-2018,10-01-2018,2018/10/01,75.3,583388,73.29,75.77,72.95
10-02-2018,02-10-2018,10-02-2018,2018/10/02,75.23,448368,75.42,75.91,74.93
10-03-2018,03-10-2018,10-03-2018,2018/10/03,76.41,682891,75.12,76.9,74.3
10-04-2018,04-10-2018,10-04-2018,2018/10/04,74.33,667687,76.18,76.47,73.88
10-05-2018,05-10-2018,10-05-2018,2018/10/05,74.34,585282,74.67,75.22,73.83
10-08-2018,08-10-2018,10-08-2018,2018/10/08,74.29,525086,74.4,74.58,73.07
10-09-2018,09-10-2018,10-09-2018,2018/10/09,74.96,596153,74.21,75.28,74
10-10-2018,10-10-2018,10-10-2018,2018/10/10,73.17,621486,74.66,75.08,72.38
10-11-2018,11-10-2018,10-11-2018,2018/10/11,70.97,747249,72.68,72.76,70.51
10-12-2018,12-10-2018,10-12-2018,2018/10/12,71.34,613269,70.99,72.01,70.64
10/15/2018,15-10-2018,10/15/2018,2018/10/15,71.78,550494,71.85,72.7,70.85
10/16/2018,16-10-2018,10/16/2018,2018/10/16,71.92,513070,71.72,72.29,71.02
10/17/2018,17-10-2018,10/17/2018,2018/10/17,69.75,630978,72.17,72.43,69.43
10/18/2018,18-10-2018,10/18/2018,2018/10/18,68.65,199036,70.03,70.03,68.47
10/19/2018,19-10-2018,10/19/2018,2018/10/19,69.12,70005,68.68,69.77,68.56
10/22/2018,22-10-2018,10/22/2018,2018/10/22,69.17,16209,69.41,69.65,68.27
10/23/2018,23-10-2018,10/23/2018,2018/10/23,66.43,827457,69.55,69.66,65.74
10/24/2018,24-10-2018,10/24/2018,2018/10/24,66.82,751582,66.17,67.72,66.05
10/25/2018,25-10-2018,10/25/2018,2018/10/25,67.33,553482,66.36,67.65,65.99
10/26/2018,26-10-2018,10/26/2018,2018/10/26,67.59,581894,66.95,67.88,66.2
10/29/2018,29-10-2018,10/29/2018,2018/10/29,67.04,463531,67.55,67.95,66.29
10/30/2018,30-10-2018,10/30/2018,2018/10/30,66.18,657444,66.68,67.26,65.33
10/31/2018,31-10-2018,10/31/2018,2018/10/31,65.31,647230,66.32,67,64.81
11-01-2018,01-11-2018,11-01-2018,2018/11/01,63.69,770628,64.88,65.39,63.11
11-02-2018,02-11-2018,11-02-2018,2018/11/02,63.14,682928,63.5,63.95,62.63
11-05-2018,05-11-2018,11-05-2018,2018/11/05,63.1,583392,62.99,64.14,62.52
11-06-2018,06-11-2018,11-06-2018,2018/11/06,62.21,735088,62.7,63.32,61.31
11-07-2018,07-11-2018,11-07-2018,2018/11/07,61.67,831806,61.74,63.18,61.2
11-08-2018,08-11-2018,11-08-2018,2018/11/08,60.67,720850,61.64,62.42,60.4
11-09-2018,09-11-2018,11-09-2018,2018/11/09,60.19,790525,60.75,60.79,59.26
11-12-2018,12-11-2018,11-12-2018,2018/11/12,59.93,760276,60.7,61.28,58.68
11/13/2018,13-11-2018,11/13/2018,2018/11/13,55.69,1055720,58.88,59.35,54.75
11/14/2018,14-11-2018,11/14/2018,2018/11/14,56.25,802420,55.27,57.37,55.13
11/15/2018,15-11-2018,11/15/2018,2018/11/15,56.46,229899,56.02,57.26,55.59
11/16/2018,16-11-2018,11/16/2018,2018/11/16,56.46,106913,56.58,57.96,55.89
11/19/2018,19-11-2018,11/19/2018,2018/11/19,56.76,24168,56.72,57.33,55.08
11/20/2018,20-11-2018,11/20/2018,2018/11/20,53.43,962490,57.39,57.44,52.77
11/21/2018,21-11-2018,11/21/2018,2018/11/21,54.63,268080,54.66,54.82,53.52
11/23/2018,23-11-2018,11/23/2018,2018/11/23,50.42,990480,53.87,54.82,50.15
11/26/2018,26-11-2018,11/26/2018,2018/11/26,51.63,635223,50.62,52.25,50.1
11/27/2018,27-11-2018,11/27/2018,2018/11/27,51.56,744480,51.54,52.38,50.3
11/28/2018,28-11-2018,11/28/2018,2018/11/28,50.29,810458,52.09,52.56,50.06
11/29/2018,29-11-2018,11/29/2018,2018/11/29,51.45,792208,50.31,52.2,49.41
11/30/2018,30-11-2018,11/30/2018,2018/11/30,50.93,774181,51.27,51.79,49.65
12-03-2018,03-12-2018,12-03-2018,2018/12/03,52.95,735689,52.45,53.85,52.03
12-04-2018,04-12-2018,12-04-2018,2018/12/04,53.25,718189,53.13,54.55,52.43
12-05-2018,05-12-2018,12-05-2018,2018/12/05,52.89,609171,52.59,54.44,52.16
12-06-2018,06-12-2018,12-06-2018,2018/12/06,51.49,954346,52.93,53.3,50.08
12-07-2018,07-12-2018,12-07-2018,2018/12/07,52.61,942216,51.76,54.22,50.6
12-10-2018,10-12-2018,12-10-2018,2018/12/10,51,691416,52.03,52.81,50.53
12-11-2018,11-12-2018,12-11-2018,2018/12/11,51.65,628303,50.89,52.43,50.7
12-12-2018,12-12-2018,12-12-2018,2018/12/12,51.15,689410,51.95,52.88,50.94
12/13/2018,13-12-2018,12/13/2018,2018/12/13,52.58,695086,51.2,53.27,50.35
12/14/2018,14-12-2018,12/14/2018,2018/12/14,51.2,507143,52.83,52.95,50.84
12/17/2018,17-12-2018,12/17/2018,2018/12/17,49.88,190278,51.25,51.87,49.01
12/18/2018,18-12-2018,12/18/2018,2018/12/18,46.24,80916,49.16,49.59,45.79
12/19/2018,19-12-2018,12/19/2018,2018/12/19,47.2,24967,45.93,48,45.93
12/20/2018,20-12-2018,12/20/2018,2018/12/20,45.88,768371,47.39,47.51,45.67
12/21/2018,21-12-2018,12/21/2018,2018/12/21,45.59,671666,46.25,46.77,45.13
12/24/2018,24-12-2018,12/24/2018,2018/12/24,42.53,399753,45.45,46.24,42.36
12/26/2018,26-12-2018,12/26/2018,2018/12/26,46.22,675244,42.85,47,42.52
12/27/2018,27-12-2018,12/27/2018,2018/12/27,44.61,644307,46.58,46.7,44.37
12/28/2018,28-12-2018,12/28/2018,2018/12/28,45.33,545343,45.44,46.22,44.42
12/31/2018,31-12-2018,12/31/2018,2018/12/31,45.41,460064,45.22,46.53,44.73
01-02-2019,02-01-2019,01-02-2019,2019/01/02,46.54,830833,45.8,47.78,44.35
01-03-2019,03-01-2019,01-03-2019,2019/01/03,47.09,770128,46.26,47.49,45.35
01-04-2019,04-01-2019,01-04-2019,2019/01/04,47.96,796007,46.9,49.22,46.65
01-07-2019,07-01-2019,01-07-2019,2019/01/07,48.52,801346,48.3,49.79,48.11
01-08-2019,08-01-2019,01-08-2019,2019/01/08,49.78,726571,48.73,49.95,48.31
01-09-2019,09-01-2019,01-09-2019,2019/01/09,52.36,848871,49.8,52.58,49.71
01-10-2019,10-01-2019,01-10-2019,2019/01/10,52.59,786678,52.18,52.78,51.37
01-11-2019,11-01-2019,01-11-2019,2019/01/11,51.59,775871,52.28,53.31,51.18
01/14/2019,14-01-2019,01/14/2019,2019/01/14,50.51,759245,51.73,52.11,50.38
01/15/2019,15-01-2019,01/15/2019,2019/01/15,52.11,643556,50.78,52.3,50.64
01/16/2019,16-01-2019,01/16/2019,2019/01/16,52.31,673870,52,52.52,51.26
01/17/2019,17-01-2019,01/17/2019,2019/01/17,52.07,275863,52.3,52.58,50.98
01/18/2019,18-01-2019,01/18/2019,2019/01/18,53.8,18766,53.73,54.24,53.33
01/22/2019,22-01-2019,01/22/2019,2019/01/22,52.57,39659,53.73,54.24,51.8
01/23/2019,23-01-2019,01/23/2019,2019/01/23,52.62,685045,52.95,53.64,51.86
01/24/2019,24-01-2019,01/24/2019,2019/01/24,53.13,696818,52.45,53.47,52.07
01/25/2019,25-01-2019,01/25/2019,2019/01/25,53.69,572353,53.17,53.94,52.91
01/28/2019,28-01-2019,01/28/2019,2019/01/28,51.99,628977,53.56,53.64,51.33
01/29/2019,29-01-2019,01/29/2019,2019/01/29,53.31,645552,52.12,53.93,51.84
01/30/2019,30-01-2019,01/30/2019,2019/01/30,54.23,706492,53.24,54.93,53.09
01/31/2019,31-01-2019,01/31/2019,2019/01/31,53.79,701425,54.28,55.37,53.62
02-01-2019,01-02-2019,02-01-2019,2019/02/01,55.26,659331,54.01,55.66,53.37
02-04-2019,04-02-2019,02-04-2019,2019/02/04,54.56,605312,55.32,55.75,53.29
02-05-2019,05-02-2019,02-05-2019,2019/02/05,53.66,595322,54.86,55.21,53.47
02-06-2019,06-02-2019,02-06-2019,2019/02/06,54.01,582563,53.73,54.3,52.86
02-07-2019,07-02-2019,02-07-2019,2019/02/07,52.64,702996,53.94,54.21,51.8
02-08-2019,08-02-2019,02-08-2019,2019/02/08,52.72,581235,52.59,52.99,52.08
02-11-2019,11-02-2019,02-11-2019,2019/02/11,52.41,706196,52.66,52.78,51.23
02-12-2019,12-02-2019,02-12-2019,2019/02/12,53.1,666903,52.47,54.05,52.29
02/13/2019,13-02-2019,02/13/2019,2019/02/13,53.9,672534,53.35,54.6,53.27
02/14/2019,14-02-2019,02/14/2019,2019/02/14,54.41,599822,53.96,54.68,53.08
02/15/2019,15-02-2019,02/15/2019,2019/02/15,55.59,47155,55.78,56.33,55.72
02/19/2019,19-02-2019,02/19/2019,2019/02/19,56.09,119931,56.06,56.33,55.29
02/20/2019,20-02-2019,02/20/2019,2019/02/20,56.92,23631,55.94,57.55,55.48
02/21/2019,21-02-2019,02/21/2019,2019/02/21,56.96,532562,57.24,57.61,56.64
02/22/2019,22-02-2019,02/22/2019,2019/02/22,57.26,494569,56.84,57.81,56.71
02/25/2019,25-02-2019,02/25/2019,2019/02/25,55.48,703837,57.17,57.53,55.08
02/26/2019,26-02-2019,02/26/2019,2019/02/26,55.5,528757,55.46,56.08,55.02
02/27/2019,27-02-2019,02/27/2019,2019/02/27,56.94,558995,55.95,57.39,55.72
02/28/2019,28-02-2019,02/28/2019,2019/02/28,57.22,485958,57,57.43,56.43
03-01-2019,01-03-2019,03-01-2019,2019/03/01,55.8,663429,57.22,57.88,55.57
03-04-2019,04-03-2019,03-04-2019,2019/03/04,56.59,531124,55.83,57,55.81
